Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: (((a computer) ((image of) (a man))) ((((((sitting on) a) hospital) bed) where) (((another man) is) .)))	Gold Tree: ((a (computer image)) ((of ((a man) (sitting (on ((a (hospital bed)) (where ((another man) is))))))) .))
Pred Tree: (((a woman) (((leaning over) an) open)) (((over door) ,) ((((((holding a) towel) and) a) dish) .)))	Gold Tree: ((a woman) ((leaning ((over (an (open (over door)))) (, (holding ((a towel) (and (a dish))))))) .))
Pred Tree: (((a bathroom) with) (((a sink) ,) (((paper roll) ,) ((toilet ,) ((((towel rack) and) mirror) .)))))	Gold Tree: ((a bathroom) ((with ((a sink) (, ((paper roll) (, (toilet (, ((towel rack) (and mirror))))))))) .))
Pred Tree: (((((a lady) dressed) (((((in a) blue) and) purple) outfit)) ((wearing a) hat)) (((made of) fruit) .))	Gold Tree: ((a lady) ((dressed ((in (a ((blue (and purple)) outfit))) (wearing ((a hat) (made (of fruit)))))) .))
Pred Tree: (((a cat) (sitting (on the))) ((((man 's) lap) while) ((the man) ((((types on) the) laptop) .))))	Gold Tree: ((a cat) ((sitting ((on ((the (man 's)) lap)) (while ((the man) (types (on (the laptop))))))) .))
Pred Tree: ((((((((three plates) of) food) consisting) of) pizza) ,) ((((salads ,) rice) and) (((a can) of) cola)))	Gold Tree: ((three plates) ((of food) (consisting (of (pizza (, (salads (, (rice (and ((a can) (of cola))))))))))))
Pred Tree: (((((a utility) table) (((in a) kitchen) ,)) with) ((((pots ,) pans) and) ((utensils (hanging nearby)) .)))	Gold Tree: ((a (utility table)) ((in (a kitchen)) (, ((with ((pots (, (pans (and utensils)))) (hanging nearby))) .))))
Pred Tree: ((((a banana) and) (((((a nearly) empty) bowl) of) food)) ((((((resting on) top) of) a) table) .))	Gold Tree: ((a banana) (and ((((a ((nearly empty) bowl)) (of food)) (resting (on (top (of (a table)))))) .)))
Pred Tree: ((((((a crowd) of) people) (((marching down) a) street)) ((((in front) of) a) red)) ((stop sign) .))	Gold Tree: (((a crowd) (of people)) ((marching ((down (a street)) (in (front (of (a (red (stop sign)))))))) .))
Pred Tree: ((((((a man) and) young) girl) ((((((walk past) a) monument) of) a) man)) (((riding a) horse) .))	Gold Tree: (((a man) (and (young girl))) ((walk (past ((a monument) (of ((a man) (riding (a horse))))))) .))
Pred Tree: ((the portrait) (((is <unk>) in) (that ((((((a victorian) lady) (is photographed)) with) ((a laptop) computer)) .))))	Gold Tree: ((the portrait) ((is (<unk> (in (that ((a (victorian lady)) (is (photographed (with (a (laptop computer)))))))))) .))
Pred Tree: ((((((a coffee) mug) sits) (((((in the) corner) on) a) counter)) with) ((several items) ((in it) .)))	Gold Tree: ((a (coffee mug)) ((sits ((in (the corner)) (on ((a counter) (with ((several items) (in it))))))) .))
Pred Tree: (((small child) (stands ((((in front) of) a) bathroom))) ((sink while) ((((a woman) prepares) (a toothbrush)) .)))	Gold Tree: ((small child) ((stands ((in (front (of (a (bathroom sink))))) (while ((a woman) (prepares (a toothbrush)))))) .))
Pred Tree: ((a man) ((((at a) skate) park) (((((((((with his) foot) on) the) side) of) the) skateboard) .)))	Gold Tree: ((a man) ((at (a (skate park))) ((with ((his foot) (on ((the side) (of (the skateboard)))))) .)))
Pred Tree: (((a zebra) (((in front) of) (((((a group) of) large) rocks) (((standing next) to) a)))) (tree .))	Gold Tree: ((a zebra) ((in (front (of ((a group) ((of (large rocks)) (standing (next (to (a tree))))))))) .))
Pred Tree: (((a small) child) ((((using a) baseball) bat) (((((and a) pole) to) practice) (((hitting a) ball) .))))	Gold Tree: ((a (small child)) ((using (((a (baseball bat)) (and (a pole))) (to (practice (hitting (a ball)))))) .))
Pred Tree: ((there is) (((((a large) bed) made) with) (((white sheets) and) (((((a table) on) each) side) .))))	Gold Tree: (there ((is (((a (large bed)) (made (with (white sheets)))) (and ((a table) (on (each side)))))) .))
Pred Tree: (((a woman) (((sitting on) a) trunk)) (((((((((wearing a) polka) dot) dress) with) a) red) belt) .))	Gold Tree: ((a woman) (((sitting (on (a trunk))) (wearing ((a (polka (dot dress))) (with (a (red belt)))))) .))
Pred Tree: ((((((a large) pile) of) snow) with) (((a (stop sign)) and) (((a (street sign)) (poking out)) .)))	Gold Tree: ((a (large pile)) ((of snow) ((with (((a (stop sign)) (and (a (street sign)))) (poking out))) .)))
Pred Tree: (((a person) (((in full) leather) ((((riding a) motorcycle) with) a))) (((((stuff animal) on) the) back) .))	Gold Tree: (((a person) (in (full leather))) ((riding ((a motorcycle) (with ((a (stuff animal)) (on (the back)))))) .))
Pred Tree: (((a sink) ((is next) to)) (((a toilet) with) ((a card) (((((box on) top) of) it) .))))	Gold Tree: ((a sink) ((is (next (to ((a toilet) (with ((a (card box)) (on (top (of it))))))))) .))
Pred Tree: ((((((a black) cat) is) ((((((standing on) the) desk) with) a) (printer and))) small) ((stuffed bears) .))	Gold Tree: ((a (black cat)) ((is (standing ((on (the desk)) (with ((a printer) (and (small (stuffed bears)))))))) .))
Pred Tree: (((((a yellow) cat) ((((((sleeping on) the) hood) of) a) black)) car) ((((parked in) the) garage) .))	Gold Tree: ((a (yellow cat)) ((sleeping (on ((the hood) (of ((a (black car)) (parked (in (the garage)))))))) .))
Pred Tree: (((((a row) of) pamphlets) (are (sitting (((((((on a) shelf) at) the) front) of) a)))) (bus .))	Gold Tree: (((a row) (of pamphlets)) ((are (sitting (on ((a shelf) (at ((the front) (of (a bus)))))))) .))
Pred Tree: (((a front) ((shot of) ((a <unk>) bus))) ((((((((is parked) on) the) side) of) the) road) .))	Gold Tree: (((a (front shot)) (of (a (<unk> bus)))) ((is (parked (on ((the side) (of (the road)))))) .))
Pred Tree: (((((a little) child) (((sitting in) a) car)) seat) (((((((in the) back) seat) of) a) car) .))	Gold Tree: ((a (little child)) ((sitting ((in (a (car seat))) (in ((the (back seat)) (of (a car)))))) .))
Pred Tree: (((a man) (((in a) red) at)) ((((is standing) next) to) ((((a man) with) (long hair)) .)))	Gold Tree: (((a man) (in (a (red at)))) ((is (standing (next (to ((a man) (with (long hair))))))) .))
Pred Tree: ((guy (((((((((with cap) on) and) cup) in) hand) shows) another) what)) ((((s on) the) phone) .))	Gold Tree: ((guy (with ((cap on) (and (cup (in hand)))))) ((shows (another (what (s (on (the phone)))))) .))
Pred Tree: ((skier ,) (((((in full) professional) gear) ,) ((((((((in the) middle) of) a) downhill) speed) race) .)))	Gold Tree: (skier (, ((in (full (professional gear))) (, ((in ((the middle) (of (a (downhill (speed race)))))) .)))))
Pred Tree: (((((a passenger) train) (((moving along) an) over)) (pass ((with a) flag))) ((((flying in) the) background) .))	Gold Tree: ((a (passenger train)) ((moving ((along (an (over pass))) (with ((a flag) (flying (in (the background))))))) .))
Pred Tree: (((a (chocolate donut)) with) ((a hole) (((((((((in the) middle) and) a) partial) hole) beside) it) .)))	Gold Tree: ((a (chocolate donut)) ((with (((a hole) (in (the middle))) (and ((a (partial hole)) (beside it))))) .))
Pred Tree: (((a little) girl) (is (((getting ready) to) ((((blow out) a) candle) ((((on a) small) dessert) .)))))	Gold Tree: ((a (little girl)) ((is (getting (ready (to (blow (out ((a candle) (on (a (small dessert)))))))))) .))
Pred Tree: ((the ((bow of) ((((a ship) (on land)) with) another))) ((((((on the) edge) of) the) water) .))	Gold Tree: (((the bow) (of (a ship))) ((on land) ((with (another (on ((the edge) (of (the water)))))) .)))
Pred Tree: ((((a kid) is) (to ((((((blow out) the) single) candle) in) a))) ((((bowl of) birthday) goodness) .))	Gold Tree: ((a kid) ((is (to (blow (out ((the (single candle)) (in ((a bowl) (of (birthday goodness))))))))) .))
Pred Tree: ((((((a whole) round) shaped) pizza) with) ((((cheese and) other) toppings) ((that is) (((cut into) slices) .))))	Gold Tree: ((a ((whole (round shaped)) pizza)) ((with (cheese (and (other toppings)))) ((that (is (cut (into slices)))) .)))
Pred Tree: ((((((a ferry) with) three) passengers) (((sitting under) an) umbrella)) ((((((on a) bench) on) a) deck) .))	Gold Tree: ((a ferry) (((with (three passengers)) (sitting ((under (an umbrella)) ((on (a bench)) (on (a deck)))))) .))
Pred Tree: (((a women) ((((with a) tennis) racquet) (((((in one) hand) and) a) towel))) (((in the) other) .))	Gold Tree: ((a women) ((with (((a (tennis racquet)) (in (one hand))) (and ((a towel) (in (the other)))))) .))
Pred Tree: (((a man) (((((wearing a) suit) and) tie) (((sitting at) a) table))) ((((speaking into) a) microphone) .))	Gold Tree: (((a man) (wearing ((a (suit (and tie))) (sitting (at (a table)))))) ((speaking (into (a microphone))) .))
Pred Tree: ((((((a black) and) white) (panda bear)) (((((((sitting on) the) ground) next) to) a) white)) (thing .))	Gold Tree: ((a ((black (and white)) (panda bear))) ((sitting ((on (the ground)) (next (to (a (white thing)))))) .))
Pred Tree: ((((a woman) ((((holding a) tennis) racket) ((((reaching up) to) catch) the))) ball) (((with her) hand) .))	Gold Tree: (((a woman) (holding (a (tennis racket)))) ((reaching (up (to (catch ((the ball) (with (her hand))))))) .))
Pred Tree: ((((a young) girl) (((in a) dress) (((standing next) to) a))) (((((piece of) luggage) and) flowers) .))	Gold Tree: ((a (young girl)) ((in (a dress)) ((standing (next (to ((a piece) (of (luggage (and flowers))))))) .)))
Pred Tree: ((((tow men) with) (((((hardhats and) blue) t) -) shirts)) (standing (((((in front) of) computers) together) .)))	Gold Tree: ((tow men) ((with (hardhats (and (blue (t (- shirts)))))) ((standing ((in (front (of computers))) together)) .)))
Pred Tree: ((((a man) and) woman) ((((in a) living) room) (((((((play against) each) other) on) a) wii) .)))	Gold Tree: (((a (man (and woman))) (in (a (living room)))) ((play ((against (each other)) (on (a wii)))) .))
Pred Tree: (((a teenaged) boy) ((((on a) school) campus) ((((holding a) soda) and) ((((jumping on) his) skateboard) .))))	Gold Tree: ((a (teenaged boy)) ((on (a (school campus))) (((holding (a soda)) (and (jumping (on (his skateboard))))) .)))
Pred Tree: (((a man) (on skis)) ((((((((in the) snow) with) some) snow) covered) hills) (((in the) background) .)))	Gold Tree: ((a man) ((on (skis (in (the snow)))) ((with ((some ((snow covered) hills)) (in (the background)))) .)))
Pred Tree: (((((((a cartoon) character) (((standing on) the) beach)) by) a) (surf boards)) (standing (((in the) sand) .)))	Gold Tree: ((a (cartoon character)) ((standing ((on (the beach)) (by ((a (surf boards)) (standing (in (the sand))))))) .))
Pred Tree: ((((one person) ((((((rides a) skateboard) ,) while) another) person)) (((walks alongside) ,) ((carrying a) skateboard))) .)	Gold Tree: ((one person) ((rides ((a skateboard) (, (while ((another person) (walks (alongside (, (carrying (a skateboard)))))))))) .))
Pred Tree: (((((a four) -) way) (stop sign)) (is (((((((at the) corner) of) delta) and) bridge) (street .))))	Gold Tree: ((a (four (- (way (stop sign))))) ((is (at ((the corner) (of (delta (and (bridge street))))))) .))
Pred Tree: (((((a plate) of) food) ((((((((sitting on) a) table) ,) it) appears) to) be)) ((a salad) .))	Gold Tree: (((a plate) ((of food) (sitting (on (a table))))) (, (it ((appears (to (be (a salad)))) .))))
Pred Tree: (((a vase) ((((filled with) flowers) next) to)) ((((((((a smaller) vase) filled) with) even) more) flowers) .))	Gold Tree: ((a vase) ((filled ((with flowers) (next (to ((a (smaller vase)) (filled (with ((even more) flowers)))))))) .))
Pred Tree: ((knitting tools) (((sit together) including) (((a pencil) ,) ((((scissors ,) and) (((a spool) of) thread)) .))))	Gold Tree: ((knitting tools) ((sit (together (including ((a pencil) (, (scissors (, (and ((a spool) (of thread)))))))))) .))
Pred Tree: (((lady enjoying) (bathing ((a dog) ((in a) small)))) (((((((blue basin) in) a) bathroom) or) kitchen) .))	Gold Tree: (lady ((enjoying (bathing ((a dog) ((in (a (small (blue basin)))) (in (a (bathroom (or kitchen)))))))) .))
Pred Tree: ((((((a couple) of) photos) of) (((((a group) of) people) playing) (((with interactive) a) gaming))) (unit ..))	Gold Tree: ((a couple) ((of (photos (of ((a group) ((of people) (playing (with (interactive (a (gaming unit)))))))))) ..))
Pred Tree: ((((the skier) (is ((on the) flat))) (((((with front) ski) edges) together) and)) (((holding ski) poles) .))	Gold Tree: ((the skier) ((is ((on (the flat)) ((with ((front (ski edges)) together)) (and (holding (ski poles)))))) .))
Pred Tree: ((((((a man) bathing) (((((in the) blood) of) his) <unk>)) as) he) (((swings his) battle) (bat .)))	Gold Tree: ((a man) ((bathing ((in ((the blood) (of (his <unk>)))) (as (he (swings (his (battle bat))))))) .))
Pred Tree: (((a woman) (rushes (with a))) (((((((handbag through) an) empty) train) station) with) (((a large) clock) .)))	Gold Tree: ((a woman) ((rushes ((with (a handbag)) ((through (an (empty (train station)))) (with (a (large clock)))))) .))
Pred Tree: (((a man) (talking to)) ((((a woman) ((in a) kitchen)) with) ((((a lot) of) food) (in it))))	Gold Tree: ((a man) (talking ((to (a woman)) (in ((a kitchen) (with ((a lot) ((of food) (in it)))))))))
Pred Tree: ((girl (washing ((a dog) ((who is) ((sitting in) a))))) ((((((<unk> of) water) in) a) sink) .))	Gold Tree: (girl ((washing ((a dog) (who (is (sitting ((in ((a <unk>) (of water))) (in (a sink)))))))) .))
Pred Tree: (((a skier) (((in a) red) jacket)) (is (((near a) thicket) (((((of trees) in) the) snow) .))))	Gold Tree: (((a skier) (in (a (red jacket)))) ((is (near ((a thicket) ((of trees) (in (the snow)))))) .))
Pred Tree: ((((a platter) full) of) ((bananas ,) ((apples ,) ((oranges ,) ((peaches ,) (((pears and) limes) .))))))	Gold Tree: ((a platter) ((full (of (bananas (, (apples (, (oranges (, (peaches (, (pears (and limes)))))))))))) .))
Pred Tree: (((a woman) ((standing next) to)) ((((a child) ((on a) yellow)) flower) ((((and grass) covered) field) .)))	Gold Tree: ((a woman) ((standing ((next (to (a child))) (on (a (yellow (flower (and ((grass covered) field)))))))) .))
Pred Tree: ((((((a large) pizza) ((((is shown) on) a) table)) ,) with) (((((bottles and) glasses) of) wine) .))	Gold Tree: ((a (large pizza)) ((is (shown ((on (a table)) (, (with ((bottles (and glasses)) (of wine))))))) .))
Pred Tree: (((((a black) and) white) ((photo of) ((a child) putting))) ((((((on gloves) next) to) a) suitcase) .))	Gold Tree: ((a ((black (and white)) photo)) ((of ((a child) (putting (on (gloves (next (to (a suitcase)))))))) .))
Pred Tree: (((a woman) (((((((((((near a) messy) kitchen) counter) holds) a) hand) blender) into) a) green)) (drink .))	Gold Tree: (((a woman) (near (a (messy (kitchen counter))))) ((holds ((a (hand blender)) (into (a (green drink))))) .))
Pred Tree: ((((this is) (two birds)) ((((pecking at) the) remnants) of)) (((a burger) ((at an) outdoor)) (restaurant .)))	Gold Tree: (this ((is ((two birds) (pecking (at ((the remnants) (of ((a burger) (at (an (outdoor restaurant)))))))))) .))
Pred Tree: ((((((a crowd) of) people) ((((at a) festival) type) event)) ((((in front) of) a) clock)) (tower .))	Gold Tree: ((a crowd) ((of people) ((at ((a (festival (type event))) (in (front (of (a (clock tower))))))) .)))
Pred Tree: ((((a motorcycle) (((((is pictured) outside) of) a) building)) with) ((a man) ((((walking away) from) it) .)))	Gold Tree: ((a motorcycle) ((is (pictured ((outside (of (a building))) (with ((a man) (walking (away (from it)))))))) .))
Pred Tree: (((((a black) train) car) with) ((((a group) of) men) ((((((standing on) the) back) of) it) .)))	Gold Tree: ((a (black (train car))) ((with (((a group) (of men)) (standing (on ((the back) (of it)))))) .))
Pred Tree: (((a person) (((((in a) black) snow) suit) (on a))) ((((((pair of) skis) in) the) snow) .))	Gold Tree: ((a person) (((in (a (black (snow suit)))) (on ((a pair) ((of skis) (in (the snow)))))) .))
Pred Tree: (((a small) boy) (flies ((((a multi) colored) kite) (with (((an old) house) (((in the) background) .))))))	Gold Tree: ((a (small boy)) ((flies ((a ((multi colored) kite)) ((with (an (old house))) (in (the background))))) .))
Pred Tree: (((a person) (and ((((a black) cat) are) ((((((on a) brown) couch) with) a) colorful)))) (blanket .))	Gold Tree: (((a person) (and (a (black cat)))) ((are ((on (a (brown couch))) (with (a (colorful blanket))))) .))
Pred Tree: ((((a concrete) building) with) ((towers ,) (((((a steep) ((in the) middle)) and) ((a clock) underneath)) .)))	Gold Tree: (((a (concrete building)) (with towers)) (, (((a steep) (in (the middle))) (and (((a clock) underneath) .)))))
Pred Tree: ((((a cute) kitty) cat) (((((((((in the) sink) of) a) bathroom) near) a) brush) ((and other) items)))	Gold Tree: ((a (cute (kitty cat))) ((in ((the sink) (of (a bathroom)))) (near ((a brush) (and (other items))))))
Pred Tree: ((((<unk> skier) ,) (((in full) gear) ,)) (((making his) way) (((((on a) wind) blown) day) .)))	Gold Tree: ((<unk> skier) (, ((in (full gear)) (, ((making ((his way) (on (a ((wind blown) day))))) .)))))
Pred Tree: (((people surfing) ((in a) (((body of) water) while))) (((((groups of) people) waiting) and) ((looking on) .)))	Gold Tree: (people ((surfing ((in ((a body) (of water))) (while ((groups (of people)) (waiting (and (looking on))))))) .))
Pred Tree: ((there is) ((dust (coming ((out of) ((the ((catcher 's) glove)) as)))) (((a boy) ((prepares to) bat)) .)))	Gold Tree: (there ((is (dust (coming ((out (of ((the (catcher 's)) glove))) (as ((a boy) (prepares (to bat)))))))) .))
Pred Tree: ((((a large) bed) with) (((a red) blanket) (with ((vine print) ((on it) ((((in a) white) room) .))))))	Gold Tree: ((a (large bed)) ((with ((a (red blanket)) (with ((vine print) (on it))))) ((in (a (white room))) .)))
Pred Tree: (((a cow) (((standing on) a) (mount of))) (((((((((rock filled) dirt) next) to) a) lush) green) field) .))	Gold Tree: ((a cow) ((standing ((on ((a mount) (of (rock (filled dirt))))) (next (to (a (lush (green field))))))) .))
Pred Tree: (((a plate) with) ((((a (hot dog)) ((in a) bun)) (((((, macaroni) and) cheese) and) stuffing)) (on it)))	Gold Tree: (((a plate) (with ((a (hot dog)) (in (a bun))))) (, ((macaroni (and cheese)) (and (stuffing (on it))))))
Pred Tree: (((a bed) (((in a) bedroom) (with a))) (((((((((white blanket) on) top) of) a) hard) wood) floor) .))	Gold Tree: ((a bed) (((in (a bedroom)) (with ((a (white blanket)) (on (top (of (a (hard (wood floor))))))))) .))
Pred Tree: (((several men) (((((((((sitting at) a) desk) with) a) computer) while) another) man)) ((((holds a) camera) upward) .))	Gold Tree: ((several men) ((sitting ((at (a desk)) ((with (a computer)) (while ((another man) (holds ((a camera) upward))))))) .))
Pred Tree: (((((a green) plate) (((sitting on) a) table)) with) ((((a piece) of) (half eaten)) (food ((on it) .))))	Gold Tree: ((a (green plate)) ((sitting (on (a table))) ((with ((a piece) ((of ((half eaten) food)) (on it)))) .)))
Pred Tree: ((((white and) blue) buses) (((((((((parked on) the) side) of) the) city) road) to) (((let passengers) in) .)))	Gold Tree: (((white (and blue)) buses) ((parked ((on ((the side) (of (the (city road))))) (to (let (passengers in))))) .))
Pred Tree: (((a woman) ((((in a) tennis) outfit) ((((walks on) a) court) ((holding a) towel)))) (((and a) racket) .))	Gold Tree: (((a woman) (in (a (tennis outfit)))) ((walks ((on (a court)) (holding ((a towel) (and (a racket)))))) .))
Pred Tree: ((((a little) boy) (standing (((((in the) grass) with) a) kite))) ((((((in the) sky) in) the) background) .))	Gold Tree: ((a (little boy)) ((standing ((in (the grass)) ((with ((a kite) (in (the sky)))) (in (the background))))) .))
Pred Tree: (((((((picture of) food) in) restaurant) -) (grilled meat)) ((((on white) plate) with) ((((orange drink) and) side) dish)))	Gold Tree: (picture (of ((food (in restaurant)) (- ((grilled meat) ((on (white plate)) (with ((orange drink) (and (side dish))))))))))
Pred Tree: (((((((a motorcycle) ((((((parked in) grass) next) to) a) building)) with) cars) and) (an airplane)) ((parked nearby) .))	Gold Tree: ((a motorcycle) ((parked ((in grass) (next (to (((a building) (with cars)) (and ((an airplane) (parked nearby)))))))) .))
Pred Tree: (((((a dish) of) macaroni) and) (((((((cheese ,) french) fries) and) broccoli) are) ((((sitting on) the) table) .)))	Gold Tree: (((a dish) (of ((macaroni (and cheese)) (, ((french fries) (and broccoli)))))) ((are (sitting (on (the table)))) .))
Pred Tree: ((a person) ((((((((((holding a) cell) phone) with) a) picture) of) grazing) cows) ((((on it) 's) display) .)))	Gold Tree: ((a person) ((holding ((a (cell phone)) (with ((a picture) ((of (grazing cows)) (on ((it 's) display))))))) .))
Pred Tree: ((((((a plane) (((((with water) skies) for) landing) gear)) coming) in) ((for a) landing)) (((at a) lake) .))	Gold Tree: (((a plane) (with ((water skies) (for (landing gear))))) ((coming (in (for ((a landing) (at (a lake)))))) .))
Pred Tree: (((a bathroom) has) (((a tub) ,) ((((and a) washing) machine) ((((((in front) of) a) large) window) .))))	Gold Tree: ((a bathroom) ((has ((a tub) (, (and ((a (washing machine)) (in (front (of (a (large window)))))))))) .))
Pred Tree: (((a man) (((is riding) an) elephant)) (with (and (` (` (i (love (ny ((` `) (sign .))))))))))	Gold Tree: ((a man) ((is (riding ((an elephant) (with (and (` (` ((i (love ny)) (` (` sign)))))))))) .))
Pred Tree: (((a man) in) (((((a hospital) bad) with) (a man)) (((((((sitting on) the) edge) of) his) bed) .)))	Gold Tree: (((a man) (in (a hospital))) ((bad (with ((a man) (sitting (on ((the edge) (of (his bed)))))))) .))
Pred Tree: ((((a young) child) ((((((in the) back) seat) of) a) car)) ((((((pretends to) talk) on) a) phone) .))	Gold Tree: (((a (young child)) (in ((the (back seat)) (of (a car))))) ((pretends (to (talk (on (a phone))))) .))
Pred Tree: ((((cream colored) buildings) with) ((((green shutters) ,) and) ((((a tower) with) ((a clock) ((in the) distance))) .)))	Gold Tree: (((cream colored) buildings) (((with (green shutters)) (, (and ((a tower) (with ((a clock) (in (the distance)))))))) .))
Pred Tree: (((an elephant) (((stands in) an) exhibit)) ((((((((((near a) wall) with) some) rocks) and) a) tire) nearby) .))	Gold Tree: ((an elephant) ((stands ((in ((an exhibit) (near (a wall)))) (with (((some rocks) (and (a tire))) nearby)))) .))
Pred Tree: ((this is) (((a (stop sign)) (((((at the) end) of) a) road)) (((((in front) of) a) fence) .)))	Gold Tree: (this ((is ((a (stop sign)) (at ((the end) (of ((a road) (in (front (of (a fence)))))))))) .))
Pred Tree: (((((a dinner) table) with) (((((various plates) of) food) and) (((a glass) of) water))) (((on the) table) .))	Gold Tree: ((a (dinner table)) ((with ((((various plates) (of food)) (and ((a glass) (of water)))) (on (the table)))) .))
Pred Tree: (((a photo) (((taken from) a) car)) ((((((((((looking at) a) skateboarder) on) the) side) of) the) road) .))	Gold Tree: ((a photo) ((taken (from ((a car) (looking (at ((a skateboarder) (on ((the side) (of (the road)))))))))) .))
Pred Tree: (((sheep are) ((((((((on a) grassy) field) and) one) of) them) (is a))) ((((white and) black) baby) .))	Gold Tree: ((sheep (are (on (a (grassy field))))) (and (((one (of them)) (is (a ((white (and black)) baby)))) .)))
Pred Tree: (((two people) ((riding bikes) ((((down a) boardwalk) by) a))) (((((((body of) water) and) some) docked) boats) .))	Gold Tree: ((two people) ((riding (bikes ((down (a boardwalk)) (by (((a body) (of water)) (and (some (docked boats)))))))) .))
Pred Tree: (((people (standing by)) an) (((((inlet from) the) ocean) while) ((((((others are) walking) it) with) (surf boards)) .)))	Gold Tree: (people ((standing ((by ((an inlet) (from (the ocean)))) (while (others (are (walking (it (with (surf boards))))))))) .))
Pred Tree: ((((two people) ((((((in a) grassy) field) with) a) colorful)) owl) ((((((floating in) the) air) near) them) .))	Gold Tree: ((two people) ((in (a (grassy field))) ((with ((a (colorful owl)) (floating ((in (the air)) (near them))))) .)))
Pred Tree: ((((the wooden) bow) of) (((a ship) with) ((an ((out of) (focus boat))) ((((in the) back) ground) .))))	Gold Tree: ((the (wooden bow)) ((of ((a ship) (with ((an ((out (of focus)) boat)) (in (the (back ground))))))) .))
Pred Tree: (((a plate) with) (((((a bowl) of) fruit) ,) (((a bagel) ,) ((((and some) butter) and) (cream cheese)))))	Gold Tree: ((a plate) (with (((a bowl) (of fruit)) (, ((a bagel) (, (and ((some butter) (and (cream cheese))))))))))
Pred Tree: ((((((reality (and fantasy)) (meet (in this))) ((phone image) of)) grazing) ((cattle unaware) of)) (((what lies) above) .))	Gold Tree: ((reality (and fantasy)) ((meet (in ((this (phone image)) (of ((grazing cattle) (unaware (of (what (lies above))))))))) .))
Pred Tree: ((((a (remote control)) (((((((, various) electronic) <unk>) ,) and) a) computer)) keyboard) ((((sitting on) a) map) .))	Gold Tree: ((a (remote control)) (, ((various (electronic <unk>)) (, (and (((a (computer keyboard)) (sitting (on (a map)))) .))))))
Pred Tree: (((an elephant) with) (((((a man) and) three) children) (((on its) back) (((((drinking water) in) the) jungle) .))))	Gold Tree: (((an elephant) (with (((a man) (and (three children))) (on (its back))))) ((drinking (water (in (the jungle)))) .))
Pred Tree: ((((a woman) ((((throwing a) tennis) ball) ((((in the) air) and) a))) racket) ((((it her) other) hand) .))	Gold Tree: (((a woman) (throwing ((a (tennis ball)) (in (the air))))) (and ((a racket) ((it (her (other hand))) .))))
Pred Tree: ((((a child) playing) with) ((((a plastic) bat) and) ((((((((ball in) a) yard) next) to) a) garage) .)))	Gold Tree: ((a child) ((playing ((with (a (plastic (bat (and ball))))) (in ((a yard) (next (to (a garage))))))) .))
Pred Tree: (((((((a plate) with) ((a bowl) of)) tomato) (soup and)) ((two halves) of)) ((((a grilled) cheese) sandwich) .))	Gold Tree: ((a plate) ((with (((a bowl) (of (tomato soup))) (and ((two halves) (of (a (grilled (cheese sandwich)))))))) .))
Pred Tree: ((((a metal) container) with) (flowers ((in it) (((((((((rests on) a) tabletop) next) to) a) matching) bowl) .))))	Gold Tree: (((a (metal container)) (with (flowers (in it)))) ((rests ((on (a tabletop)) (next (to (a (matching bowl)))))) .))
Pred Tree: ((((an odd) looking) clock) (((((((on the) side) of) a) building) above) (((((a large) group) of) people) .)))	Gold Tree: ((an ((odd looking) clock)) ((on ((the side) (of ((a building) (above ((a (large group)) (of people))))))) .))
Pred Tree: (((a kitchen) with) (((((a white) tile) wall) and) ((((((a chrome) counter) with) a) ((built in) oven)) .)))	Gold Tree: ((a kitchen) ((with ((a (white (tile wall))) (and ((a (chrome counter)) (with (a ((built in) oven))))))) .))
Pred Tree: (((a dining) room) ((table with) (((((a bottle) of) wine) and) (((wine glasses) and) (((a pot) of) carrots)))))	Gold Tree: ((a (dining (room table))) (with (((a bottle) (of (wine (and (wine glasses))))) (and ((a pot) (of carrots))))))
Pred Tree: ((((((a bathroom) with) (((((tiled floor) and) bathing) area) ,)) with) ((a large) double)) (((sink and) mirror) .))	Gold Tree: ((a bathroom) ((with (tiled (floor (and (bathing area))))) (, ((with (a (large (double (sink (and mirror)))))) .))))
Pred Tree: ((((a hotel) room) with) ((((((a well) -) made) bed) ,) ((table ,) ((a ((and two) chairs)) .))))	Gold Tree: ((a (hotel room)) ((with (a (well (- (made (bed (, (table (, (a (and (two chairs)))))))))))) .))
Pred Tree: (((a (hot dog)) with) (((lots of) toppings) (((((((((is served) in) a) red) basket) with) a) soda) .)))	Gold Tree: (((a (hot dog)) (with (lots (of toppings)))) ((is (served ((in (a (red basket))) (with (a soda))))) .))
Pred Tree: ((((((a man) and) (a woman)) ((talking to) one)) another) ((((in a) kitchen) with) (((a lot) of) food)))	Gold Tree: (((a man) (and (a woman))) (talking ((to (one another)) (in ((a kitchen) (with ((a lot) (of food))))))))
Pred Tree: (((a little) girl) (is ((((((((wearing a) red) and) white) dress) as) she) ((((looks toward) the) camera) .))))	Gold Tree: ((a (little girl)) ((is (wearing ((a ((red (and white)) dress)) (as (she (looks (toward (the camera)))))))) .))
Pred Tree: (((a man) (with glasses)) ((((and his) eyes) closed) ((((((((dressed in) a) black) shirt) and) a) necktie) .)))	Gold Tree: (((a man) (with (glasses (and ((his eyes) closed))))) ((dressed (in ((a (black shirt)) (and (a necktie))))) .))
